acquisition_mode,cache_policy,expected_format,licence_gate,notes,parser_name,source_id,url,version_id
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,jsonl fixture,confirm Commonwealth redistribution terms before mirroring raw XML,Prototype parser fixture is synthetic and exists only to test parser output contracts before live MBS XML ingestion.,MbsXmlFixtureAdapter -> future live MBS XML adapter,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,au_mbs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,jsonl fixture,avoid redistributing proprietary CPT long descriptors; store derived numeric fields only,Prototype parser fixture is synthetic and avoids proprietary CPT descriptor redistribution.,CmsClfsFixtureAdapter -> future live CMS CLFS CSV adapter,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs,us_cms_clfs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,jsonl fixture,confirm NHS publication licence and workbook redistribution status,Prototype parser fixture is synthetic and intended for coverage/test-directory schema work.,NhsGenomicDirectoryFixtureAdapter -> future live NHS workbook adapter,uk_genomic_test_directory,https://www.england.nhs.uk/publication/national-genomic-test-directories/,uk_genomic_directory_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,csv fixture,confirm PBS API terms and do not represent published prices as net confidential prices,Prototype parser fixture is synthetic and tests PBS item overview-like fields; published prices are not interpreted as confidential net prices.,PbsFixtureAdapter -> future live PBS API/CSV adapter,au_pbs,https://data.pbs.gov.au/document/91327.html,au_pbs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,csv fixture,CPT licence gate required; retain only permitted derived fields in public dataset,Prototype parser fixture is synthetic and avoids proprietary CPT long descriptor redistribution.,planned CMS PFS RVU/fee-schedule adapter,us_cms_pfs,https://www.cms.gov/medicare/physician-fee-schedule,us_cms_pfs_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,csv fixture,confirm CMS public-file reuse and preserve publication metadata,Prototype parser fixture is synthetic and validates public Part B drug payment-limit fields.,planned CMS ASP drug-pricing adapter,us_cms_asp,https://www.cms.gov/medicare/payment/fee-for-service-providers/part-b-drugs/average-drug-sales-price,us_cms_asp_seed_fixture
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,TXT pair,confirm Commonwealth redistribution terms before mirroring raw XML,Current MBS historical item-map and descriptor files listed on the MBS downloads page; raw TXT files remain local until redistribution review.,MbsXmlFixtureAdapter -> future live MBS XML adapter,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,au_mbs_20260701_txt_pair
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,ZIP behind AMA licence gate,avoid redistributing proprietary CPT long descriptors; store derived numeric fields only,"CMS page lists 26CLABQ3 with 2,206 records; download passes through an AMA licence gate and is manual-only in this repo.",CmsClfsFixtureAdapter -> future live CMS CLFS CSV adapter,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs/files/26clabq3,us_cms_clfs_26clabq3_ama_zip
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,REST API JSON/CSV,confirm PBS API terms and do not represent published prices as net confidential prices,Public PBS API/CSV distribution; use API rate limits and schedule-code metadata.,PbsFixtureAdapter -> future live PBS API/CSV adapter,au_pbs,https://data.pbs.gov.au/document/91327.html,au_pbs_api_v3_current_month
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,ZIP/XLSX/CSV manual extract,confirm CMS public-file reuse and preserve publication metadata,July 2026 ASP payment-limit files are price evidence only; file presence does not decide coverage.,planned CMS ASP drug-pricing adapter,us_cms_asp,https://www.cms.gov/medicare/payment/part-b-drugs/asp-pricing-files,us_cms_asp_july_2026_payment_limit
manual_fixture_then_reviewed_live_fetch,versioned-public-cache-after-licence-review,ZIP/XLSX manual extract,CPT licence gate required; retain only permitted derived fields in public dataset,PFS RVU26C supports derived payment fields; CPT descriptor governance remains separate.,planned CMS PFS RVU/fee-schedule adapter,us_cms_pfs,https://www.cms.gov/medicare/payment/fee-schedules/physician/pfs-relative-value-files,us_cms_pfs_rvu26c
